Channel,Campaign,Spend,Impressions,CPM,clicks,CTR,CPC,Installs,CI,CPI,Activations,CT,Cancels_10th_fl,CPA,CPA_account,Purchase_1,CR1,CR2,CR3,pLTV,ROMI
Facebook,Brand Awareness,12500,1785000,7.0,24990,1.40%,0.5,4498,18.00%,2.78,3148,70.00%,629,28.41,4.96,440,9.78%,13.98%,17.47%,38.5,35.52%
Facebook,Retargeting,8200,936000,8.76,14976,1.60%,0.55,3144,21.00%,2.61,2358,75.00%,353,15.8,4.09,519,16.51%,22.01%,25.89%,42.1,166.46%
Facebook,Lookalike 1%,15800,2257000,7.0,28438,1.26%,0.56,4834,17.00%,3.27,3383,70.00%,845,42.36,6.23,373,7.72%,11.03%,14.70%,35.2,-16.90%
Facebook,Broad Targeting,9400,1567000,6.0,21938,1.40%,0.43,3071,14.00%,3.06,2149,70.00%,537,44.98,5.83,209,6.81%,9.73%,12.97%,31.4,-30.19%
Google Ads,Search Brand,5600,280000,20.0,11200,4.00%,0.5,3024,27.00%,1.85,2419,80.00%,362,11.02,2.72,508,16.80%,21.00%,24.70%,45.6,313.66%
Google Ads,Search Generic,18300,1220000,15.0,15860,1.30%,1.15,3489,22.00%,5.25,2791,80.00%,558,43.68,8.2,419,12.01%,15.01%,18.76%,39.8,-8.87%
Google Ads,UAC Install,22000,4400000,5.0,48400,1.10%,0.45,7937,16.40%,2.77,5555,70.00%,1111,33.03,4.95,666,8.39%,11.99%,14.99%,33.1,0.20%
Google Ads,YouTube Ads,14700,2100000,7.0,18900,0.90%,0.78,3213,17.00%,4.58,2249,70.00%,562,72.77,8.71,202,6.29%,8.98%,11.97%,29.8,-59.05%
TikTok,TopView,25000,5000000,5.0,55000,1.10%,0.45,8250,15.00%,3.03,5775,70.00%,1155,49.21,5.41,508,6.16%,8.80%,11.00%,34.5,-29.90%
TikTok,In-Feed Standard,11600,2320000,5.0,27840,1.20%,0.42,4454,16.00%,2.6,3117,70.00%,623,35.8,4.65,324,7.27%,10.39%,12.99%,36.7,2.51%
TikTok,Spark Ads,7800,1300000,6.0,16900,1.30%,0.46,2873,17.00%,2.71,2154,75.00%,430,25.16,4.52,310,10.79%,14.39%,17.98%,41.3,64.14%
TikTok,Retargeting,4300,614000,7.0,9210,1.50%,0.47,1657,18.00%,2.6,1325,80.00%,198,13.19,3.82,326,19.67%,24.60%,28.93%,44.8,239.65%
Apple Search Ads,Brand,3200,107000,29.91,5350,5.00%,0.6,2033,38.00%,1.57,1728,85.00%,259,8.72,2.18,367,18.05%,21.24%,24.98%,48.2,452.79%
Apple Search Ads,Generic,9800,490000,20.0,7840,1.60%,1.25,1960,25.00%,5.0,1568,80.00%,313,49.0,7.81,200,10.20%,12.76%,15.94%,40.5,-17.35%
Apple Search Ads,Competitor,6100,305000,20.0,3660,1.20%,1.67,841,23.00%,7.25,672,80.00%,134,76.25,11.34,80,9.51%,11.90%,14.87%,37.9,-50.30%
Snapchat,Story Ads,8900,2225000,4.0,24475,1.10%,0.36,3916,16.00%,2.27,2741,70.00%,548,33.84,4.06,263,6.72%,9.60%,11.99%,32.8,-3.07%
Snapchat,Collection Ads,5500,1100000,5.0,13200,1.20%,0.42,1980,15.00%,2.78,1386,70.00%,277,38.19,4.96,144,7.27%,10.39%,12.98%,34.1,-10.72%
Unity Ads,Rewarded Video,7200,3600000,2.0,28800,0.80%,0.25,5760,20.00%,1.25,3456,60.00%,691,23.68,2.6,304,5.28%,8.80%,10.99%,28.5,20.33%
Unity Ads,Interstitial,4800,2400000,2.0,16800,0.70%,0.29,3360,20.00%,1.43,2016,60.00%,403,27.12,2.98,177,5.27%,8.78%,10.97%,26.3,-3.02%
ironSource,Offerwall,3100,1550000,2.0,12400,0.80%,0.25,2480,20.00%,1.25,1488,60.00%,297,21.83,2.6,142,5.73%,9.54%,11.92%,27.1,24.14%
Influencer,Instagram Macro,10500,840000,12.5,10080,1.20%,1.04,1814,18.00%,5.79,1360,75.00%,272,57.07,9.65,184,10.14%,13.53%,16.91%,43.6,-23.60%
Influencer,YouTube Mid-tier,7400,493000,15.01,5916,1.20%,1.25,1005,17.00%,7.36,804,80.00%,160,64.35,11.49,115,11.44%,14.30%,17.86%,46.2,-28.20%
Influencer,TikTok Micro,3800,760000,5.0,9880,1.30%,0.38,1679,17.00%,2.26,1259,75.00%,251,20.99,3.77,181,10.78%,14.38%,17.96%,40.8,94.34%
